File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-dd7c40.o,91.612747%,11185,108102,32090,75751,261,10924
startup_at32f415.o,8.387256%,1024,404,36,368,0,1024
